title,subtitle,authors,publisher,published date
Murphy's Law,A Molly Murphy Mystery,Rhys Bowen ,Minotaur Books,12/04/2018
Undeniable,Evolution and the Science of Creation,Bill Nye ,St. Martin's Griffin,09/08/2015
